,artist,description,height,image,price,size,title,url_id,width,area,price_sqin,price_class,avg_r_value,avg_g_value,avg_b_value,avg_hue,avg_saturation,avg_value
34,joel degrand,"""Uniforms, Outfits, & Accessories"" We think of the word ""uniform"" to mean the distinctive clothing worn by members of the same organization. However, in today's society the term is somewhat distilled and can be used interchangeably to denote outfits that are similar in nature, but not exactly the same, and not necessarily worn by members of an organization. The history of the uniform, goes back to the history of clothing and textiles. Textiles are defined as felt or spun fibers made into yarn that are netted, looped and knitted or woven into fabrics. They first appeared in the Middle East during the late Stone Age. From these ancient times to the present day, the production of textiles evolved and influenced how people clothed themselves. Uniforms, and outfits, are a decisive part of the human physical appearance and this appearance has a social significance in all parts of the world. Every society has a dress code that is well defined and understood by most members of that particular group. The dress code has specific rules, which in turn signal a message given by a person's clothing and the way it is worn. The message may indicate income, social class, religious affiliation, attitude, sexual orientation, marital status, or sexual availability. It may be seen in the clothes worn in the armed services, the paramilitary, the police, security guards, and the clergy. It can also be seen in shops, banks, post offices airports, bars, restaurants and hotels, sports teams, clubs, schools, and prisons. Sometimes corporations use uniforms to create a brand or corporate image. (The first service uniform registered in the U.S. Patent and Trademark office was the Playboy Bunny outfit.). Uniforms, and outfits in general, send social signals that usually indicate personal and cultural identity. The idea of dress code works on many levels and is defined in many ways. One exam...",22.0,http://ecx.images-amazon.com/images/I/51ZyYmJQ5VL._QL70_.jpg,1500.0,"[u'22', u'17', u'0.2 in.']","Rand, Muslim Bride, Justice City, IL,",B00IRT78SI,17.0,374.0,4.01069518717,3.0,139.924169666,135.958046272,146.674791774,75.1414087404,78.3474755784,166.521156812
35,rebecca plotnick,Red lanterns hang for Valentine's Day in Galeries Lafayette in Paris.,16.0,http://ecx.images-amazon.com/images/I/61-xQ2Y6adL._QL70_.jpg,175.0,"[u'16', u'24 in.']","Red Balloons in Galeries Lafayette,",B00EZHF8UQ,24.0,384.0,0.455729166667,0.0,131.850090667,64.576528,66.387696,89.6008426667,137.909610667,134.001770667
36,steve pomerantz,Quite a collection of cameras!,20.0,http://ecx.images-amazon.com/images/I/51hJyusbgQL._QL70_.jpg,600.0,"[u'20', u'16', u'1 in.']","Cameras Positive,",B00XUVXXAA,16.0,320.0,1.875,2.0,63.3535508021,63.9051818182,64.2373582888,29.5547647059,7.49958823529,64.4724545455
37,joel degrand,"""Uniforms, Outfits, & Accessories"" We think of the word ""uniform"" to mean the distinctive clothing worn by members of the same organization. However, in today's society the term is somewhat distilled and can be used interchangeably to denote outfits that are similar in nature, but not exactly the same, and not necessarily worn by members of an organization. The history of the uniform, goes back to the history of clothing and textiles. Textiles are defined as felt or spun fibers made into yarn that are netted, looped and knitted or woven into fabrics. They first appeared in the Middle East during the late Stone Age. From these ancient times to the present day, the production of textiles evolved and influenced how people clothed themselves. Uniforms, and outfits, are a decisive part of the human physical appearance and this appearance has a social significance in all parts of the world. Every society has a dress code that is well defined and understood by most members of that particular group. The dress code has specific rules, which in turn signal a message given by a person's clothing and the way it is worn. The message may indicate income, social class, religious affiliation, attitude, sexual orientation, marital status, or sexual availability. It may be seen in the clothes worn in the armed services, the paramilitary, the police, security guards, and the clergy. It can also be seen in shops, banks, post offices airports, bars, restaurants and hotels, sports teams, clubs, schools, and prisons. Sometimes corporations use uniforms to create a brand or corporate image. (The first service uniform registered in the U.S. Patent and Trademark office was the Playboy Bunny outfit.). Uniforms, and outfits in general, send social signals that usually indicate personal and cultural identity. The idea of dress code works on many levels and is defined in many ways. One exam...",90.0,http://ecx.images-amazon.com/images/I/51QDrOeMh4L._QL70_.jpg,10000.0,"[u'90', u'72', u'0.5 in.']","Walter, Fly Fisherman, Junction, TX,",B00IRTE9K8,72.0,6480.0,1.54320987654,2.0,138.088673522,126.172838046,114.387120823,39.2627352185,50.5661799486,139.7498509
38,michael verlangieri,"Yosemite Valley Falls by Michael Verlangieri. Limited to 25 prints, each print is hand signed and numbered by the artist. The image is printed ""Giclee"" on special imported photographic paper. The image size is 21.5 x 28 inches. The paper size is 24 x 30 inches. The image is printed using specially engineered ink technology for optimum image quality and over 100 years of lightfastness.",21.5,http://ecx.images-amazon.com/images/I/619gJxAYBKL._QL70_.jpg,140.0,"[u'21.5', u'28 in.']","Yosemite Valley Falls Art Photo National Parks,",B00S61NYN0,28.0,602.0,0.232558139535,0.0,89.928144,100.86112,87.580688,57.8692053333,103.122469333,108.818848
39,slim aarons,C-Print,23.0,http://ecx.images-amazon.com/images/I/51%2BNXo1Ov0L._QL70_.jpg,4500.0,"[u'23', u'15.2 in.']","Hotel Taormina Pool,",B00E7SEH32,15.2,349.6,12.8718535469,4.0,45.177359882,70.6766039823,88.1805248279,93.4602999017,159.310828417,91.3926560964
40,michael verlangieri,"Maui Beach Sunset by Michael Verlangieri. Limited to 25 prints, each print is hand signed and numbered by the artist. The image is printed ""Giclee"" on special imported photographic paper. The image size is 21.5 x 28 inches. The paper size is 24 x 30 inches. The image is printed using specially engineered ink technology for optimum image quality and over 100 years of lightfastness.",21.5,http://ecx.images-amazon.com/images/I/51xX03MmfZL._QL70_.jpg,140.0,"[u'21.5', u'28 in.']","Maui Beach Sunset Fine Art Photo Hawaii,",B00S61NUYI,28.0,602.0,0.232558139535,0.0,93.2725493333,90.1309653333,91.41144,61.8542826667,63.2083413333,101.644773333
41,john vlahakis,"Flora, stamen, blue, yellow, green, black, close-up, cropped shot, color photography",24.0,http://ecx.images-amazon.com/images/I/51ITW1lA8TL._QL70_.jpg,1350.0,"[u'24', u'30 in.']",Sperm,B00H277GX8,30.0,720.0,1.875,2.0,76.7723107769,76.23160401,54.3427769424,52.680556391,165.637012531,89.4512631579
42,katherine gendreau,"A long exposure at dusk at Lake Crescent, Olympic National Park, Washington.",12.0,http://ecx.images-amazon.com/images/I/41GlIXM2FqL._QL70_.jpg,150.0,"[u'12', u'18 in.']","12x18 in. Katherine Gendreau Dusk at Lake Crescent,",B00NC7AQN4,18.0,216.0,0.694444444444,1.0,76.3257777778,105.664840841,129.713315315,104.619093093,133.134918919,130.961453453
43,william dey,"A Retro iconic California Motel swimming pool colorfully captured by photographer William Dey. Image is printed on matte archival paper and measures 20"" X 16"" with white borders for a total overall measurement of 22"" X 18"". Signed & Numbered Limited Edition print from the William Dey Signature Collection available exclusively on Zatista.",18.0,http://ecx.images-amazon.com/images/I/61p2coPVLVL._QL70_.jpg,395.0,"[u'18', u'22', u'0.1 in.']","CALIFORNIA ORANGE,",B016IHY8GU,22.0,396.0,0.997474747475,1.0,153.073935,133.30443,119.354365,36.513485,112.05419,163.18903
44,sam cherry,"This image is from the early 70s and was taken in the old L.A. rail yards not far from Union Station and in sight of City Hall.??All the way to the ""shoot"" Bukowski bragged about riding the freights, but I already knew he never had done so. As we approached the boxcar, Sam Cherry handed me his camera case and sprinted to an open boxcar door, jumped in with one amazing leap, and told Hank to follow.??""Hell no,"" he said. We had to lift him into the car, not an easy task, as he weighed well over 200 pounds.",20.0,http://ecx.images-amazon.com/images/I/51adlBx34iL._QL70_.jpg,800.0,"[u'20', u'16 in.']","Charles Bukowski (In railroad boxcar),",B00EZSEINI,16.0,320.0,2.5,3.0,137.070870466,128.452305699,122.32680829,15.4453316062,43.007253886,137.073207254
45,malick sidibe,,17.3,http://ecx.images-amazon.com/images/I/51veYILtHFL._QL70_.jpg,2500.0,"[u'17.3', u'15 in.']","Surprise Party A Bamako,",B01786YYAK,15.0,259.5,9.63391136802,3.0,113.707492447,111.007861027,107.882912387,35.5890996979,28.525673716,114.117987915
